algorithm,epsilon,horizon,nRuns,numArms,regret,,,rr,epsilon-greedy,UCB,KL-UCB,Thompson-Sampling
epsilon-greedy,0.2,10,150,5,2.906666667,,10,1.946666667,2.906666667,1.273333333,1.86,1.546666667
epsilon-greedy,0.2,100,150,5,15.32,,100,19.93333333,15.32,11.85333333,10.07333333,10.02666667
epsilon-greedy,0.2,1000,150,5,61.23333333,,1000,200.14,61.23333333,66.33333333,34.74666667,28.72666667
epsilon-greedy,0.2,10000,150,5,462.8533333,,10000,2005.213333,462.8533333,194.7733333,67.92,40.24666667
epsilon-greedy,0.2,100000,150,5,4433.84,,100000,20017.07333,4433.84,338.4733333,88,49.47333333
UCB,0.2,10,150,5,1.273333333,,,,,,,
UCB,0.2,100,150,5,11.85333333,,,,,,,
UCB,0.2,1000,150,5,66.33333333,,,,,,,
UCB,0.2,10000,150,5,194.7733333,,,,,,,
UCB,0.2,100000,150,5,338.4733333,,,,,,,
KL-UCB,0.2,10,150,5,1.86,,,,,,,
KL-UCB,0.2,100,150,5,10.07333333,,,,,,,
KL-UCB,0.2,1000,150,5,34.74666667,,,,,,,
KL-UCB,0.2,10000,150,5,67.92,,,,,,,
KL-UCB,0.2,100000,150,5,88,,,,,,,
Thompson-Sampling,0.2,10,150,5,1.546666667,,,,,,,
Thompson-Sampling,0.2,100,150,5,10.02666667,,,,,,,
Thompson-Sampling,0.2,1000,150,5,28.72666667,,,,,,,
Thompson-Sampling,0.2,10000,150,5,40.24666667,,,,,,,
Thompson-Sampling,0.2,100000,150,5,49.47333333,,,,,,,
rr,0.2,10,150,5,1.946666667,,,,,,,
rr,0.2,100,150,5,19.93333333,,,,,,,
rr,0.2,1000,150,5,200.14,,,,,,,
rr,0.2,10000,150,5,2005.213333,,,,,,,
rr,0.2,100000,150,5,20017.07333,,,,,,,
