algorithm,epsilon,horizon,nRuns,numArms,regret,,,,,,
epsilon-greedy,0.2,10,200,25,5.66,,rr,epsilon-greedy,UCB,KL-UCB,Thompson-Sampling
epsilon-greedy,0.2,100,200,25,40.91,10,7.47,5.66,7.41,7.41,4.525
epsilon-greedy,0.2,1000,200,25,248.15,100,50.445,40.91,37.5,22.72,24.66
epsilon-greedy,0.2,10000,200,25,2089.485,1000,508.08,248.15,234.93,63.33,49.77
epsilon-greedy,0.2,100000,200,25,20690.895,10000,5084.735,2089.485,788.545,107.54,69.43
UCB,0.2,10,200,25,7.41,100000,50835.245,20690.895,1524.815,141.695,86.03
UCB,0.2,100,200,25,37.5,,,,,,
UCB,0.2,1000,200,25,234.93,,,,,,
UCB,0.2,10000,200,25,788.545,,,,,,
UCB,0.2,100000,200,25,1524.815,,,,,,
KL-UCB,0.2,10,200,25,7.41,,,,,,
KL-UCB,0.2,100,200,25,22.72,,,,,,
KL-UCB,0.2,1000,200,25,63.33,,,,,,
KL-UCB,0.2,10000,200,25,107.54,,,,,,
KL-UCB,0.2,100000,200,25,141.695,,,,,,
Thompson-Sampling,0.2,10,200,25,4.525,,,,,,
Thompson-Sampling,0.2,100,200,25,24.66,,,,,,
Thompson-Sampling,0.2,1000,200,25,49.77,,,,,,
Thompson-Sampling,0.2,10000,200,25,69.43,,,,,,
Thompson-Sampling,0.2,100000,200,25,86.03,,,,,,
rr,0.2,10,200,25,7.47,,,,,,
rr,0.2,100,200,25,50.445,,,,,,
rr,0.2,1000,200,25,508.08,,,,,,
rr,0.2,10000,200,25,5084.735,,,,,,
rr,0.2,100000,200,25,50835.245,,,,,,
