algorithm,epsilon,horizon,nRuns,numArms,regret,,,rr,epsilon-greedy,UCB,KL-UCB,Thompson-Sampling
epsilon-greedy,0.2,10,150,25,5.7,,10,7.486666667,5.7,7.433333333,7.513333333,4.6
epsilon-greedy,0.2,100,150,25,41.95333333,,100,51.2,41.95333333,37.38666667,22.8,24.91333333
epsilon-greedy,0.2,1000,150,25,246.4866667,,1000,506.6866667,246.4866667,235.22,64.22,50.88
epsilon-greedy,0.2,10000,150,25,2088.673333,,10000,5082.166667,2088.673333,794.7,106.5133333,72.14
epsilon-greedy,0.2,100000,150,25,20429.64667,,100000,50842.83333,20429.64667,1529.606667,146.7066667,95.49333333
UCB,0.2,10,150,25,7.433333333,,,,,,,
UCB,0.2,100,150,25,37.38666667,,,,,,,
UCB,0.2,1000,150,25,235.22,,,,,,,
UCB,0.2,10000,150,25,794.7,,,,,,,
UCB,0.2,100000,150,25,1529.606667,,,,,,,
KL-UCB,0.2,10,150,25,7.513333333,,,,,,,
KL-UCB,0.2,100,150,25,22.8,,,,,,,
KL-UCB,0.2,1000,150,25,64.22,,,,,,,
KL-UCB,0.2,10000,150,25,106.5133333,,,,,,,
KL-UCB,0.2,100000,150,25,146.7066667,,,,,,,
Thompson-Sampling,0.2,10,150,25,4.6,,,,,,,
Thompson-Sampling,0.2,100,150,25,24.91333333,,,,,,,
Thompson-Sampling,0.2,1000,150,25,50.88,,,,,,,
Thompson-Sampling,0.2,10000,150,25,72.14,,,,,,,
Thompson-Sampling,0.2,100000,150,25,95.49333333,,,,,,,
rr,0.2,10,150,25,7.486666667,,,,,,,
rr,0.2,100,150,25,51.2,,,,,,,
rr,0.2,1000,150,25,506.6866667,,,,,,,
rr,0.2,10000,150,25,5082.166667,,,,,,,
rr,0.2,100000,150,25,50842.83333,,,,,,,
