algorithm,epsilon,horizon,nRuns,numArms,regret,,,,10,100,1000
epsilon-greedy,0.1,10,150,25,6.002,,,0.1,6.002,60.68,557.3733333
epsilon-greedy,0.2,10,150,25,6.026666667,,,0.2,6.026666667,41.96666667,250.8333333
epsilon-greedy,0.3,10,150,25,5.326666667,,,0.3,5.326666667,30.74666667,201.1733333
epsilon-greedy,0.4,10,150,25,5.886666667,,,0.4,5.886666667,36.82666667,258.9533333
epsilon-greedy,0.5,10,150,25,4.66,,,0.5,4.66,35.98,279.4733333
epsilon-greedy,0.6,10,150,25,5.406666667,,,0.6,5.406666667,42.16666667,346.66
epsilon-greedy,0.7,10,150,25,5.053333333,,,0.7,5.053333333,46.07333333,389.4133333
epsilon-greedy,0.8,10,150,25,5.346666667,,,0.8,5.346666667,49.4,436.8333333
epsilon-greedy,0.9,10,150,25,5.626666667,,,0.9,5.626666667,52.40666667,490.9733333
epsilon-greedy,0.1,100,150,25,60.68,,,,,,
epsilon-greedy,0.2,100,150,25,41.96666667,,,,,,
epsilon-greedy,0.3,100,150,25,30.74666667,,,,,,
epsilon-greedy,0.4,100,150,25,36.82666667,,,,,,
epsilon-greedy,0.5,100,150,25,35.98,,,,,,
epsilon-greedy,0.6,100,150,25,42.16666667,,,,,,
epsilon-greedy,0.7,100,150,25,46.07333333,,,,,,
epsilon-greedy,0.8,100,150,25,49.4,,,,,,
epsilon-greedy,0.9,100,150,25,52.40666667,,,,,,
epsilon-greedy,0.1,1000,150,25,557.3733333,,,,,,
epsilon-greedy,0.2,1000,150,25,250.8333333,,,,,,
epsilon-greedy,0.3,1000,150,25,201.1733333,,,,,,
epsilon-greedy,0.4,1000,150,25,258.9533333,,,,,,
epsilon-greedy,0.5,1000,150,25,279.4733333,,,,,,
epsilon-greedy,0.6,1000,150,25,346.66,,,,,,
epsilon-greedy,0.7,1000,150,25,389.4133333,,,,,,
epsilon-greedy,0.8,1000,150,25,436.8333333,,,,,,
epsilon-greedy,0.9,1000,150,25,490.9733333,,,,,,
epsilon-greedy,0.1,10000,150,25,5316.78,,,,,,
epsilon-greedy,0.2,10000,150,25,2118.493333,,,,,,
